-77.011062,38.882086,25.518890,19.600000,2017-09-29T13:40:46Z
-77.010842,38.882027,26.131989,19.510000,2017-09-29T13:40:47Z
-77.010633,38.881968,26.983887,20.110001,2017-09-29T13:40:48Z
-77.010401,38.881904,27.387299,19.840000,2017-09-29T13:40:49Z
-77.010196,38.881847,26.854736,19.510000,2017-09-29T13:40:50Z
-77.009970,38.881815,26.775146,19.200001,2017-09-29T13:40:51Z
-77.009750,38.881756,26.963776,19.629999,2017-09-29T13:40:52Z
-77.009535,38.881699,26.783447,20.219999,2017-09-29T13:40:53Z
-77.009328,38.881634,26.764130,20.059999,2017-09-29T13:40:54Z
-77.009114,38.881573,26.860443,20.139999,2017-09-29T13:40:55Z
-77.008903,38.881515,26.833496,20.100000,2017-09-29T13:40:56Z
-77.008683,38.881456,27.225708,20.049999,2017-09-29T13:40:57Z
-77.008461,38.881397,27.287659,19.820000,2017-09-29T13:40:58Z
-77.008231,38.881330,27.211212,20.680000,2017-09-29T13:40:59Z
-77.007994,38.881265,27.478790,20.950001,2017-09-29T13:41:00Z
-77.007770,38.881203,27.842285,21.000000,2017-09-29T13:41:01Z
-77.007544,38.881142,28.359924,20.889999,2017-09-29T13:41:02Z
-77.007323,38.881085,28.567169,20.820000,2017-09-29T13:41:03Z
-77.007099,38.881031,29.116058,20.620001,2017-09-29T13:41:04Z
-77.006862,38.880987,29.972229,20.150000,2017-09-29T13:41:05Z
-77.006617,38.880947,29.510651,20.530001,2017-09-29T13:41:06Z
-77.006397,38.880923,29.870178,20.740000,2017-09-29T13:41:07Z
-77.006157,38.880904,30.103699,21.160000,2017-09-29T13:41:08Z
-77.005907,38.880889,30.144318,21.650000,2017-09-29T13:41:09Z
-77.005664,38.880875,30.119019,21.200001,2017-09-29T13:41:10Z
-77.005424,38.880862,29.819427,20.850000,2017-09-29T13:41:11Z
-77.005181,38.880845,29.421753,20.680000,2017-09-29T13:41:12Z
-77.004944,38.880830,28.714050,20.559999,2017-09-29T13:41:13Z
-77.004709,38.880814,28.207794,20.410000,2017-09-29T13:41:14Z
-77.004480,38.880804,27.121796,20.600000,2017-09-29T13:41:15Z
-77.004240,38.880793,26.206024,20.740000,2017-09-29T13:41:16Z
-77.004006,38.880777,25.601044,20.600000,2017-09-29T13:41:17Z
-77.003772,38.880777,25.399933,20.770000,2017-09-29T13:41:18Z
-77.003538,38.880762,24.527283,21.100000,2017-09-29T13:41:19Z
-77.003293,38.880737,24.778534,21.690001,2017-09-29T13:41:20Z
-77.003035,38.880700,25.718964,22.160000,2017-09-29T13:41:21Z
-77.002789,38.880650,26.095795,22.520000,2017-09-29T13:41:22Z
-77.002548,38.880591,26.246155,22.440001,2017-09-29T13:41:23Z
-77.002300,38.880528,25.881592,22.000000,2017-09-29T13:41:24Z
-77.002065,38.880475,26.752930,21.610001,2017-09-29T13:41:25Z
-77.001826,38.880408,27.035187,21.980000,2017-09-29T13:41:26Z
-77.001591,38.880345,27.043579,22.450001,2017-09-29T13:41:27Z
-77.001351,38.880278,27.095825,22.469999,2017-09-29T13:41:28Z
-77.001110,38.880211,27.597321,22.120001,2017-09-29T13:41:29Z
-77.000876,38.880146,27.615753,22.150000,2017-09-29T13:41:30Z
-77.000641,38.880080,27.972748,21.780001,2017-09-29T13:41:31Z
-77.000396,38.880011,27.793030,21.620001,2017-09-29T13:41:32Z
-77.000164,38.879946,27.994385,21.850000,2017-09-29T13:41:33Z
-76.999932,38.879882,27.890411,22.129999,2017-09-29T13:41:34Z
-76.999696,38.879819,28.114319,22.139999,2017-09-29T13:41:35Z
-76.999462,38.879754,28.268921,21.770000,2017-09-29T13:41:36Z
-76.999227,38.879686,28.532928,21.379999,2017-09-29T13:41:37Z
-76.998993,38.879618,28.305847,21.389999,2017-09-29T13:41:38Z
-76.998767,38.879557,28.508698,21.350000,2017-09-29T13:41:39Z
-76.998529,38.879497,28.873505,21.100000,2017-09-29T13:41:40Z
-76.998305,38.879440,29.069946,20.950001,2017-09-29T13:41:41Z
-76.998077,38.879380,29.864807,20.950001,2017-09-29T13:41:42Z
-76.997841,38.879316,30.473236,21.299999,2017-09-29T13:41:43Z
-76.997615,38.879257,30.735718,21.100000,2017-09-29T13:41:44Z
-76.997377,38.879197,31.576355,20.959999,2017-09-29T13:41:45Z
-76.997140,38.879137,32.090515,21.230000,2017-09-29T13:41:46Z
-76.996895,38.879081,32.412201,21.790001,2017-09-29T13:41:47Z
-76.996654,38.879023,32.751312,21.430000,2017-09-29T13:41:48Z
-76.996426,38.878971,33.102509,20.670000,2017-09-29T13:41:49Z
-76.996181,38.878915,33.240692,21.270000,2017-09-29T13:41:50Z
-76.995945,38.878863,33.778107,20.980000,2017-09-29T13:41:51Z
-76.995712,38.878812,34.092926,20.959999,2017-09-29T13:41:52Z
-76.995481,38.878760,34.129120,20.570000,2017-09-29T13:41:53Z
-76.995253,38.878709,33.537231,20.860001,2017-09-29T13:41:54Z
-76.995017,38.878658,33.195892,21.610001,2017-09-29T13:41:55Z
-76.994767,38.878603,33.078369,22.080000,2017-09-29T13:41:56Z
-76.994521,38.878550,32.801147,22.600000,2017-09-29T13:41:57Z
-76.994267,38.878494,31.827087,22.620001,2017-09-29T13:41:58Z
-76.994017,38.878442,31.510986,22.950001,2017-09-29T13:41:59Z
-76.993764,38.878386,31.092987,23.340000,2017-09-29T13:42:00Z
-76.993498,38.878327,30.757141,23.930000,2017-09-29T13:42:01Z
-76.993245,38.878272,30.977142,23.610001,2017-09-29T13:42:02Z
-76.992982,38.878213,31.559540,23.510000,2017-09-29T13:42:03Z
-76.992721,38.878155,32.396667,23.059999,2017-09-29T13:42:04Z
-76.992480,38.878096,33.594666,22.120001,2017-09-29T13:42:05Z
-76.992278,38.878057,34.856628,19.740000,2017-09-29T13:42:06Z
-76.992078,38.878002,35.597015,18.700001,2017-09-29T13:42:07Z
-76.991885,38.877940,36.441071,18.440001,2017-09-29T13:42:08Z
-76.991696,38.877863,37.216705,18.059999,2017-09-29T13:42:09Z
-76.991523,38.877777,37.702972,17.870001,2017-09-29T13:42:10Z
-76.991391,38.877679,37.834381,17.230000,2017-09-29T13:42:11Z
-76.991255,38.877560,37.672241,17.230000,2017-09-29T13:42:12Z
-76.991144,38.877437,37.571411,17.020000,2017-09-29T13:42:13Z
-76.991050,38.877304,36.561615,17.469999,2017-09-29T13:42:14Z
-76.990972,38.877161,36.247772,17.540001,2017-09-29T13:42:15Z
-76.990918,38.877013,35.936615,17.540001,2017-09-29T13:42:16Z
-76.990888,38.876856,34.744751,17.500000,2017-09-29T13:42:17Z
-76.990877,38.876698,34.332306,17.670000,2017-09-29T13:42:18Z
-76.990885,38.876539,33.793396,17.600000,2017-09-29T13:42:19Z
-76.990897,38.876383,33.695160,16.820000,2017-09-29T13:42:20Z
-76.990914,38.876224,34.417267,16.820000,2017-09-29T13:42:21Z
-76.990933,38.876082,33.925781,15.990000,2017-09-29T13:42:22Z
-76.990951,38.875948,33.201233,15.190000,2017-09-29T13:42:23Z
-76.990969,38.875808,32.712921,14.710000,2017-09-29T13:42:24Z
-76.990995,38.875643,31.607239,16.129999,2017-09-29T13:42:25Z
-76.991013,38.875501,31.085968,16.250000,2017-09-29T13:42:26Z
-76.991030,38.875356,30.668304,16.620001,2017-09-29T13:42:27Z
-76.991053,38.875206,29.692566,17.020000,2017-09-29T13:42:28Z
-76.991074,38.875061,28.209045,16.940001,2017-09-29T13:42:29Z
-76.991093,38.874912,27.105408,17.020000,2017-09-29T13:42:30Z
-76.991111,38.874760,26.352020,17.150000,2017-09-29T13:42:31Z
-76.991121,38.874602,25.508331,17.430000,2017-09-29T13:42:32Z
-76.991119,38.874445,24.249512,17.559999,2017-09-29T13:42:33Z
-76.991108,38.874289,23.256317,17.610001,2017-09-29T13:42:34Z
-76.991088,38.874130,22.537537,17.879999,2017-09-29T13:42:35Z
-76.991056,38.873970,22.191742,17.879999,2017-09-29T13:42:36Z
-76.991017,38.873815,21.980713,17.620001,2017-09-29T13:42:37Z
-76.990967,38.873665,21.735962,17.350000,2017-09-29T13:42:38Z
-76.990909,38.873511,21.797424,17.420000,2017-09-29T13:42:39Z
-76.990840,38.873365,21.779297,17.340000,2017-09-29T13:42:40Z
-76.990761,38.873215,21.997314,17.830000,2017-09-29T13:42:41Z
-76.990678,38.873071,21.865509,18.280001,2017-09-29T13:42:42Z
-76.990580,38.872927,22.115417,18.520000,2017-09-29T13:42:43Z
-76.990471,38.872780,22.492493,18.719999,2017-09-29T13:42:44Z
-76.990397,38.872626,22.581970,18.500000,2017-09-29T13:42:45Z
-76.990268,38.872482,22.796967,18.510000,2017-09-29T13:42:46Z
-76.990157,38.872358,22.698792,17.879999,2017-09-29T13:42:47Z
-76.990054,38.872239,22.708771,18.290001,2017-09-29T13:42:48Z
-76.989925,38.872090,22.403229,18.969999,2017-09-29T13:42:49Z
-76.989802,38.871947,22.267578,19.309999,2017-09-29T13:42:50Z
-76.989669,38.871807,21.986816,19.200001,2017-09-29T13:42:51Z
-76.989544,38.871655,21.754608,19.200001,2017-09-29T13:42:52Z
-76.989427,38.871514,21.391479,19.290001,2017-09-29T13:42:53Z
-76.989309,38.871367,20.987701,19.049999,2017-09-29T13:42:54Z
-76.989191,38.871225,20.410614,18.719999,2017-09-29T13:42:55Z
-76.989078,38.871081,19.327209,18.600000,2017-09-29T13:42:56Z
-76.988966,38.870938,18.013611,18.610001,2017-09-29T13:42:57Z
-76.988857,38.870794,16.693481,18.860001,2017-09-29T13:42:58Z
-76.988749,38.870646,15.544983,18.850000,2017-09-29T13:42:59Z
-76.988645,38.870499,14.511902,18.730000,2017-09-29T13:43:00Z
-76.988569,38.870335,13.170715,19.240000,2017-09-29T13:43:01Z
-76.988526,38.870183,12.235474,19.799999,2017-09-29T13:43:02Z
-76.988511,38.869996,11.053741,19.990000,2017-09-29T13:43:03Z
-76.988519,38.869825,10.749725,19.690001,2017-09-29T13:43:04Z
-76.988554,38.869649,10.644958,20.209999,2017-09-29T13:43:05Z
-76.988610,38.869508,10.692230,19.820000,2017-09-29T13:43:06Z
-76.988667,38.869320,11.056885,20.180000,2017-09-29T13:43:07Z
-76.988793,38.869166,11.308472,20.160000,2017-09-29T13:43:08Z
-76.988912,38.869050,12.541687,19.680000,2017-09-29T13:43:09Z
-76.989056,38.868929,13.400940,19.469999,2017-09-29T13:43:10Z
-76.989224,38.868790,16.278320,20.240000,2017-09-29T13:43:11Z
-76.989391,38.868666,16.516479,20.180000,2017-09-29T13:43:12Z
-76.989554,38.868552,15.485565,20.950001,2017-09-29T13:43:13Z
-76.989720,38.868420,15.929840,21.459999,2017-09-29T13:43:14Z
-76.989889,38.868272,16.126892,22.139999,2017-09-29T13:43:15Z
-76.990061,38.868114,16.266663,22.230000,2017-09-29T13:43:16Z
-76.990225,38.867953,16.459015,21.930000,2017-09-29T13:43:17Z
-76.990365,38.867808,16.646240,21.600000,2017-09-29T13:43:18Z
-76.990513,38.867645,16.535522,21.440001,2017-09-29T13:43:19Z
-76.990658,38.867480,16.224915,22.090000,2017-09-29T13:43:20Z
-76.990801,38.867312,15.690765,22.430000,2017-09-29T13:43:21Z
-76.990934,38.867141,15.211334,22.469999,2017-09-29T13:43:22Z
-76.991059,38.866972,14.649902,22.280001,2017-09-29T13:43:23Z
-76.991193,38.866787,14.103027,22.160000,2017-09-29T13:43:24Z
-76.991305,38.866626,13.607452,21.240000,2017-09-29T13:43:25Z
-76.991424,38.866460,13.439972,20.889999,2017-09-29T13:43:26Z
-76.991530,38.866307,13.133820,19.920000,2017-09-29T13:43:27Z
-76.991635,38.866153,12.917358,19.450001,2017-09-29T13:43:28Z
-76.991743,38.866004,12.864685,19.219999,2017-09-29T13:43:29Z
-76.991863,38.865852,12.861450,18.910000,2017-09-29T13:43:30Z
-76.991986,38.865714,12.871338,19.020000,2017-09-29T13:43:31Z
-76.992123,38.865574,12.997711,19.230000,2017-09-29T13:43:32Z
-76.992264,38.865438,13.229675,19.020000,2017-09-29T13:43:33Z
-76.992402,38.865311,13.446625,18.719999,2017-09-29T13:43:34Z
-76.992550,38.865185,13.659302,19.209999,2017-09-29T13:43:35Z
-76.992722,38.865059,13.597931,20.370001,2017-09-29T13:43:36Z
-76.992903,38.864937,13.649261,21.330000,2017-09-29T13:43:37Z
-76.993102,38.864811,13.785095,21.820000,2017-09-29T13:43:38Z
-76.993298,38.864692,13.976959,22.120001,2017-09-29T13:43:39Z
-76.993530,38.864561,14.187317,23.340000,2017-09-29T13:43:40Z
-76.993745,38.864450,14.724060,22.459999,2017-09-29T13:43:41Z
-76.993982,38.864342,15.098175,22.070000,2017-09-29T13:43:42Z
-76.994205,38.864254,15.479919,22.330000,2017-09-29T13:43:43Z
-76.994441,38.864168,16.121918,22.969999,2017-09-29T13:43:44Z
-76.994696,38.864086,16.610413,22.790001,2017-09-29T13:43:45Z
-76.994939,38.864018,17.205994,22.440001,2017-09-29T13:43:46Z
-76.995183,38.863961,17.754150,21.889999,2017-09-29T13:43:47Z
-76.995428,38.863909,18.295135,21.430000,2017-09-29T13:43:48Z
-76.995657,38.863860,18.835785,20.809999,2017-09-29T13:43:49Z
-76.995883,38.863813,19.134918,20.340000,2017-09-29T13:43:50Z
-76.996109,38.863768,19.692627,20.629999,2017-09-29T13:43:51Z
-76.996331,38.863723,19.755066,20.190001,2017-09-29T13:43:52Z
